id,source,split,flagged,p_bullying,pred_class
S001,iSarcasmEval,test,False,,
S002,iSarcasmEval,train,False,,
S003,iSarcasmEval,train,True,0.8206451157600008,other_cyberbullying
S004,iSarcasmEval,test,True,0.9656144552383388,religion
S005,iSarcasmEval,train,False,,
S006,iSarcasmEval,train,False,,
S007,iSarcasmEval,train,False,,
S008,iSarcasmEval,train,True,0.857339190330634,gender
S009,iSarcasmEval,train,True,0.9740345884979972,other_cyberbullying
S010,iSarcasmEval,train,True,0.803210972460015,other_cyberbullying
S011,iSarcasmEval,train,False,,
S012,iSarcasmEval,test,True,0.9131527810401604,age
S013,iSarcasmEval,train,False,,
S014,iSarcasmEval,train,True,0.9217860298228197,other_cyberbullying
S015,iSarcasmEval,test,False,,
S016,iSarcasmEval,train,False,,
S017,iSarcasmEval,train,False,,
S018,iSarcasmEval,train,False,,
S019,iSarcasmEval,train,True,0.8234226366593916,other_cyberbullying
S020,iSarcasmEval,train,True,0.8093457564092419,other_cyberbullying
S021,iSarcasmEval,test,True,0.8860427505239287,other_cyberbullying
S022,iSarcasmEval,train,True,0.8521992069555145,other_cyberbullying
S023,iSarcasmEval,train,False,,
S024,iSarcasmEval,train,False,,
S025,iSarcasmEval,test,True,0.8621897369499977,other_cyberbullying
S026,iSarcasmEval,train,True,0.9253469891568994,other_cyberbullying
S027,iSarcasmEval,train,False,,
S028,iSarcasmEval,train,False,,
S029,iSarcasmEval,test,True,0.8159382987061543,other_cyberbullying
S030,iSarcasmEval,train,False,,
S031,iSarcasmEval,train,True,0.9526429764281154,other_cyberbullying
S032,iSarcasmEval,train,True,0.8108606730636323,other_cyberbullying
S033,iSarcasmEval,train,True,0.9345186083578476,other_cyberbullying
S034,iSarcasmEval,train,True,0.9461909511064076,other_cyberbullying
S035,iSarcasmEval,train,False,,
S036,iSarcasmEval,train,True,0.8469542310091447,other_cyberbullying
S037,iSarcasmEval,train,True,0.968175861463204,other_cyberbullying
S038,iSarcasmEval,test,True,0.8752733889632858,age
S039,iSarcasmEval,train,True,0.9216956618691052,religion
S040,iSarcasmEval,train,True,0.8917575102508523,other_cyberbullying
S041,iSarcasmEval,train,True,0.8746956396298039,other_cyberbullying
S042,iSarcasmEval,train,True,0.8873724603459084,other_cyberbullying
S043,iSarcasmEval,train,False,,
S044,iSarcasmEval,train,True,0.9068166169922192,other_cyberbullying
S045,iSarcasmEval,train,True,0.8865765497340294,other_cyberbullying
S046,iSarcasmEval,train,True,0.9046239185542098,other_cyberbullying
S047,iSarcasmEval,train,False,,
S048,iSarcasmEval,train,False,,
S049,iSarcasmEval,train,True,0.853556421346256,other_cyberbullying
S050,iSarcasmEval,train,False,,
S051,iSarcasmEval,train,True,0.8008048926762679,ethnicity
S052,iSarcasmEval,train,True,0.8251144298036387,age
S053,iSarcasmEval,test,False,,
S054,iSarcasmEval,train,True,0.8901917769320589,other_cyberbullying
S055,iSarcasmEval,train,False,,
S056,iSarcasmEval,test,False,,
S057,iSarcasmEval,train,True,0.8702557718488226,other_cyberbullying
S058,iSarcasmEval,train,True,0.874883642491232,ethnicity
S059,iSarcasmEval,train,False,,
S060,iSarcasmEval,train,True,0.9448319400684456,other_cyberbullying
S061,iSarcasmEval,train,False,,
S062,iSarcasmEval,train,True,0.9123553209453816,other_cyberbullying
S063,iSarcasmEval,train,True,0.9708035649549034,other_cyberbullying
S064,iSarcasmEval,test,False,,
S065,iSarcasmEval,train,True,0.8036600933330034,other_cyberbullying
S066,iSarcasmEval,train,True,0.9368470940231244,other_cyberbullying
S067,iSarcasmEval,test,True,0.9486538929282842,ethnicity
S068,iSarcasmEval,train,False,,
S069,iSarcasmEval,train,True,0.9134713793389656,religion
S070,iSarcasmEval,test,False,,
S071,iSarcasmEval,train,True,0.8573450119518845,other_cyberbullying
S072,iSarcasmEval,test,True,0.8418049508665973,religion
S073,iSarcasmEval,train,False,,
S074,iSarcasmEval,train,False,,
S075,iSarcasmEval,train,True,0.8407435356541583,other_cyberbullying
S076,iSarcasmEval,train,False,,
S077,iSarcasmEval,train,True,0.8782509352648754,other_cyberbullying
S078,iSarcasmEval,train,True,0.8778644782275875,other_cyberbullying
S079,iSarcasmEval,train,True,0.899186766895218,other_cyberbullying
S080,iSarcasmEval,train,False,,
S081,iSarcasmEval,train,True,0.8123849730672631,gender
S082,iSarcasmEval,train,True,0.8190886489535193,other_cyberbullying
S083,iSarcasmEval,train,True,0.9517551125521302,ethnicity
S084,iSarcasmEval,train,True,0.8441606038264358,age
S085,iSarcasmEval,train,True,0.883223400406218,other_cyberbullying
S086,iSarcasmEval,train,True,0.8521257951726557,other_cyberbullying
S087,iSarcasmEval,train,True,0.847126780958348,gender
S088,iSarcasmEval,train,True,0.8925197059087808,other_cyberbullying
S089,iSarcasmEval,train,True,0.954259042999486,ethnicity
S090,iSarcasmEval,train,True,0.9646924209250236,other_cyberbullying
S091,iSarcasmEval,test,False,,
S092,iSarcasmEval,train,True,0.8645434549005478,gender
S093,iSarcasmEval,train,True,0.8977830869535657,other_cyberbullying
S094,iSarcasmEval,test,False,,
S095,iSarcasmEval,train,True,0.9275987969413876,other_cyberbullying
S096,iSarcasmEval,train,True,0.9532394655618688,religion
S097,iSarcasmEval,test,True,0.8008924380123685,other_cyberbullying
S098,iSarcasmEval,train,True,0.8235107008052487,other_cyberbullying
S099,iSarcasmEval,test,False,,
S100,iSarcasmEval,train,True,0.8982205873283265,other_cyberbullying
S101,iSarcasmEval,train,False,,
S102,iSarcasmEval,train,True,0.8959519510973809,other_cyberbullying
S103,iSarcasmEval,train,True,0.936307514739182,ethnicity
S104,iSarcasmEval,test,False,,
S105,iSarcasmEval,test,False,,
S106,iSarcasmEval,train,False,,
S107,iSarcasmEval,train,True,0.8294180579740892,gender
S108,iSarcasmEval,train,True,0.9526122079512848,other_cyberbullying
S109,iSarcasmEval,train,False,,
S110,iSarcasmEval,train,True,0.8731717839881104,other_cyberbullying
S111,iSarcasmEval,train,True,0.8404447732042788,gender
S112,iSarcasmEval,train,False,,
S113,iSarcasmEval,test,True,0.8763005813719967,other_cyberbullying
S114,iSarcasmEval,train,False,,
S115,iSarcasmEval,train,False,,
S116,iSarcasmEval,train,True,0.8497557672045358,other_cyberbullying
S117,iSarcasmEval,train,True,0.824613553108352,other_cyberbullying
S118,iSarcasmEval,train,False,,
S119,iSarcasmEval,train,False,,
S120,iSarcasmEval,train,False,,
S121,iSarcasmEval,train,True,0.9136502864694368,other_cyberbullying
S122,iSarcasmEval,train,True,0.803959843614971,other_cyberbullying
S123,iSarcasmEval,train,False,,
S124,iSarcasmEval,train,True,0.8060799394466539,other_cyberbullying
S125,iSarcasmEval,train,True,0.8319525435028975,other_cyberbullying
S126,iSarcasmEval,train,False,,
S127,iSarcasmEval,train,True,0.9271635358332728,gender
S128,iSarcasmEval,train,True,0.8440384516015839,other_cyberbullying
S129,iSarcasmEval,train,False,,
S130,iSarcasmEval,train,False,,
S131,iSarcasmEval,train,True,0.833051186330068,gender
S132,iSarcasmEval,train,True,0.8534751590570238,other_cyberbullying
S133,iSarcasmEval,train,True,0.8055976501699335,ethnicity
S134,iSarcasmEval,train,True,0.848106538325286,other_cyberbullying
S135,iSarcasmEval,train,False,,
S136,iSarcasmEval,train,False,,
S137,iSarcasmEval,test,True,0.8187199441387301,ethnicity
S138,iSarcasmEval,train,True,0.8015461363873857,other_cyberbullying
S139,iSarcasmEval,train,True,0.8009825614500307,other_cyberbullying
S140,iSarcasmEval,train,True,0.9872333073708864,other_cyberbullying
S141,iSarcasmEval,train,True,0.8516334713636389,other_cyberbullying
S142,iSarcasmEval,train,True,0.8255933396142863,other_cyberbullying
S143,iSarcasmEval,train,True,0.801196242419622,other_cyberbullying
