id,text,label,notes
S001,"Climate change isn't real. How could it be with us having the most hurricanes in recorded history, deadly tornados, and wildfires 🙄",,
S002,Nothing warms my heart more than seeing everybody come together and attack Westside’s administration ❤️ #WycoPride #YeeYee,,
S003,I hate you so much @Eagles,,
S004,"Why does Ramish think he can stop my kitchen rennovation because of the noise? His kids are not exactly quiet or competent when they play their musical instruments, lets just say my dog makes a better sound.",,
S005,I may look happy on the outside bit on the inside I'm dying #painful #sad,,
S006,"It’s spring, so that means it’s time for couples to leave the bar across the street and come fight under my window at 2 am again ❤️",,
S007,"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",,
S008,Old people don’t deserve rights,,
S009,"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.",,
S010,love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,,
S011,I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!,,
S012,"You were given the option to be born into a more financially stable family at conception, but chose not to avail yourself of the opportunity provided; perhaps you should now take personal responsibility for that decision, and deal with the consequences?' 🎩",,
S013,It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉 https://t.co/Px7dYqjh3I,,
S014,"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)",,
S015,"Yes you look fantastic for your age, thank the lord for filters hey!",,
S016,Just redownloaded the @achievement app - let's see if it improves my exercise routine!,,
S017,Sometimes I wonder if Priti Patel and Boris Johnson think that the Prime Minister is the one with the best K/D ratio. It would make sense with the whole 'let the bodies pile high' thing.,,
S018,ITS COMING HOOOOOME,,
S019,CLB cover art makes me want to pound my knees with a hammer.,,
S020,Just rediscovered that my nose is always in my field of vision so I will unfortunately be dropping out as I cannot continue my assigned readings in peace,,
S021,Bit odd for someone to resign over a party that didn't happen *eye roll*,,
S022,"I spend the day sitting or napping, I ration my food like a psychopath, and I take one walk a day. I am my dog. #Covid_19 #CoronaVirusUpdate",,
S023,"the audacity of the neighbors to mow the lawn while i'm trying to sleep, at 6:30pm",,
S024,how do I get my boyfriend in a maid costume?,,
S025,I would like to offer my complete support for the new rules as they have obviously supported the public by sticking to them at all times,,
S026,yes i have little interest in doing things that applies to me,,
S027,Jaegermeister did 9/11,,
S028,i’ve had more interesting conversations w my wall but alright,,
S029,"Wow, work is just so rewarding and fulfilling right now",,
S030,@DarrkIt @iamspade_ ya need a carry hit me up im a octane main,,
S031,As if I didn't know this anyway! I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg,,
S032,Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,,
S033,"@kirkkorner ""But it's a deterrent"" 🙄",,
S034,"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",,
S035,a level tudor history can do one,,
S036,trying to figure out how to use notion for my anime list. I think i’m dying,,
S037,I too enjoy making shit up and pretending like I understand basic economic principles https://t.co/cHDBHaxBBR,,
S038,It’s actually really easy to get into the mindset of a Tory. All I do is smash my head into a wall until I bleed and then slur incoherently about social mobility and England before stuffing handfuls of loose change into Tim Martin’s hands and kick a homeless person in the jaw.,,
S039,so the royal family is sound with pedophiles but as soon as a mixed race baby comes into it they’re scared ? makes sense 🥴,,
S040,"dad: ""are ya sending any of those boys from 5soz (wtf is a 5soz dad) a valentines gift?"" me: yes dad yes i am cuz im dating all of them duh",,
S041,Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,,
S042,"will never understand why ppl do meth,, just buy a shit tonne of incense in bulk stupid",,
S043,everyone pls stop shooting fireworks my dog is scared :(,,
S044,"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",,
S045,"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund. Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight",,
S046,"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo",,
S047,do people with clear skin feel accomplished?? superior??? comfortable in their own skin???? what’s that like lmfao,,
S048,we happy!!!!!!!!!!,,
S049,Corsodyl failing to consider i like being a person who spits blood when they brush their teeth,,
S050,a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,,
S051,Love seeing 15 year olds being vaccinated in the states when I have to wait till the end of June for my first one,,
S052,Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,,
S053,You on your best behaviour is me on my worst,,
S054,"AT&amp;T is truly amazing They think my lg g7 is 3g only to the point where they sent us Walmart Altec phones and said they'd shut off service. We called them, they told us to not worry and if the phones are fine they wouldn't be shut off Guess what got shut off this morning? LOL",,
S055,also that jacket he wore yesterday i’m gonna rip my eyes out :/,,
S056,"McDonalds should be rebranded Fast Food & I'm lovin it?!? You having a laugh. 20 minutes wait, cold food and my burger looks like its been in a fight with Mike Tyson",,
S057,Idk how some girls put on makeup everyday. Is it just to take selfies or have you just not discovered netflix yet?,,
S058,"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",,
S059,Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,,
S060,"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",,
S061,it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎,,
S062,"I might be rubbish at driving, and have a less than stellar career, but I’m really good at making Spanish omelette. So, you know, there’s that.",,
S063,I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,,
S064,Think we should all give Bo Jo a break. How could he have POSSIBLY known about the cheese and wine party going on in his own house?,,
S065,"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",,
S066,My coworkers play this fun game where they try to describe bars in la crosse &amp; have me guess which one they’re talking about,,
S067,I think Boris Johnson deserves his parties after the great job he does for the country these past few years,,
S068,I love leaving the doctors office in tears. I need this kid to just decide to leave my body so we can be done and home together.,,
S069,bad romance by lady gaga is the best song to ever come out of the american music industry and anyone who says otherwise is a liar,,
S070,"I am sorry, I forgot, I only exist when you need something!",,
S071,"Using an educator discount, I receive 20% off Manga at B&amp;N. This is the only reason I am a teacher.",,
S072,"oh great, we have to wear masks and constant tests to protect our loved ones and others around us. being a human is so hard",,
S073,"Yay - snow day, I can work from home - oh wait....",,
S074,"@KellyMartin_UK @Morrisons You’re right, it’s all one big conspiracy. You should boycott the NHS too, they’re in on it as well",,
S075,Someone should’ve had me committed the day I decided to buy a pair of non-stretch denim jeans,,
S076,My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. Is she in GOSSIP GIRL?,,
S077,Using my recently acquired video editing skills on myself for a change. An oral #presentation assignment on #healtheconomics is as much fun as it sounds 🗣🎥 https://t.co/1LKHVyupie,,
S078,"@Mythical So worried about him. But if you're looking to save him, based on the topography I'd say it's somewhere on the east coast. Perhaps the Carolinas?",,
S079,Funny how my phone starts turning into a piece of shit when the new iPhone comes out 🤔,,
S080,@c_j_mcburney Suspect there’s still room for you in the ground,,
S081,"@Rosievix @mouthwaite Well, illegal immigrants categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",,
S082,Boehner not clapping for gender pay equality. COOL.,,
S083,@rickyberwick And you said Donald trump was racist 😑,,
