key,status,score,doi,note,crossref_title,crossref_container,crossref_year,our_year,our_venue
rosa2019automatic,OK-DOI-OVERRIDE,1.0,10.1016/j.chb.2018.12.021,,Automatic cyberbullying detection: A systematic review,Computers in Human Behavior,2019,2019,Computers in Human Behavior
salawu2020approaches,OK,1.0,10.1109/taffc.2017.2761757,,Approaches to Automated Detection of Cyberbullying: A Survey,IEEE Transactions on Affective Computing,2020,2020,IEEE Transactions on Affective Computing
emmery2021current,OK,1.0,10.1007/s10579-020-09509-1,,"Current limitations in cyberbullying detection: On evaluation criteria, reproducibility, a",Language Resources and Evaluation,2021,2021,Language Resources and Evaluation
fortuna2018survey,OK,1.0,10.1145/3232676,,A Survey on Automatic Detection of Hate Speech in Text,ACM Computing Surveys,2019,2018,ACM Computing Surveys
vidgen2020directions,OK,1.0,10.1371/journal.pone.0243300,,"Directions in abusive language training data, a systematic review: Garbage in, garbage out",PLOS ONE,2020,2020,PLOS ONE
yin2021towards,OK-DOI-OVERRIDE,1.0,10.7717/peerj-cs.598,,Towards generalisable hate speech detection: a review on obstacles and solutions,PeerJ Computer Science,2021,2021,PeerJ Computer Science
elsherief2021latent,OK,1.0,10.18653/v1/2021.emnlp-main.29,,Latent Hatred: A Benchmark for Understanding Implicit Hate Speech,Proceedings of the 2021 Conference on Empirical Methods in N,2021,2021,Proceedings of the 2021 Conference on Empirical Methods in N
ocampo2023indepth,OK,1.0,10.18653/v1/2023.eacl-main.147,,An In-depth Analysis of Implicit and Subtle Hate Speech Messages,Proceedings of the 17th Conference of the European Chapter o,2023,2023,Proceedings of the 17th Conference of the European Chapter o
hartvigsen2022toxigen,OK,1.0,10.18653/v1/2022.acl-long.234,,ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech ,Proceedings of the 60th Annual Meeting of the Association fo,2022,2022,Proceedings of the 60th Annual Meeting of the Association fo
mathew2021hatexplain,OK,1.0,10.1609/aaai.v35i17.17745,,HateXplain: A Benchmark Dataset for Explainable Hate Speech Detection,Proceedings of the AAAI Conference on Artificial Intelligenc,2021,2021,Proceedings of the AAAI Conference on Artificial Intelligenc
wang2020sosnet,OK,1.0,10.1109/bigdata50022.2020.9378065,,SOSNet: A Graph Convolutional Network Approach to Fine-Grained Cyberbullying Detection,2020 IEEE International Conference on Big Data (Big Data),2020,2020,2020 IEEE International Conference on Big Data (Big Data)
wulczyn2017exmachina,OK-DOI-OVERRIDE,1.0,10.1145/3038912.3052591,,Ex Machina,Proceedings of the 26th International Conference on World Wi,2017,2017,Proceedings of the 26th International Conference on World Wi
vanhee2018automatic,OK,1.0,10.1371/journal.pone.0203794,,Automatic detection of cyberbullying in social media text,PLOS ONE,2018,2018,PLOS ONE
oprea2020isarcasm,OK,1.0,10.18653/v1/2020.acl-main.118,,iSarcasm: A Dataset of Intended Sarcasm,Proceedings of the 58th Annual Meeting of the Association fo,2020,2020,Proceedings of the 58th Annual Meeting of the Association fo
abufarha2022semeval,OK,1.0,10.18653/v1/2022.semeval-1.111,,"SemEval-2022 Task 6: iSarcasmEval, Intended Sarcasm Detection in English and Arabic",Proceedings of the 16th International Workshop on Semantic E,2022,2022,Proceedings of the 16th International Workshop on Semantic E
vanhee2018semeval,OK,1.0,10.18653/v1/s18-1005,,SemEval-2018 Task 3: Irony Detection in English Tweets,Proceedings of The 12th International Workshop on Semantic E,2018,2018,Proceedings of The 12th International Workshop on Semantic E
caselli2021hatebert,OK,1.0,10.18653/v1/2021.woah-1.3,,HateBERT: Retraining BERT for Abusive Language Detection in English,Proceedings of the 5th Workshop on Online Abuse and Harms (W,2021,2021,Proceedings of the 5th Workshop on Online Abuse and Harms (W
barbieri2020tweeteval,OK,1.0,10.18653/v1/2020.findings-emnlp.148,,TweetEval: Unified Benchmark and Comparative Evaluation for Tweet Classification,Findings of the Association for Computational Linguistics: E,2020,2020,Findings of the Association for Computational Linguistics: E
zhou2021challenges,OK,1.0,10.18653/v1/2021.eacl-main.274,,Challenges in Automated Debiasing for Toxic Language Detection,Proceedings of the 16th Conference of the European Chapter o,2021,2021,Proceedings of the 16th Conference of the European Chapter o
founta2018large,OK,1.0,10.1609/icwsm.v12i1.14991,,Large Scale Crowdsourcing and Characterization of Twitter Abusive Behavior,Proceedings of the International AAAI Conference on Web and ,2018,2018,Proceedings of the Twelfth International AAAI Conference on 
borkan2019nuanced,OK,1.0,10.1145/3308560.3317593,,Nuanced Metrics for Measuring Unintended Bias with Real Data for Text Classification,Companion Proceedings of The 2019 World Wide Web Conference,2019,2019,Companion Proceedings of The 2019 World Wide Web Conference 
davidson2017automated,OK,1.0,10.1609/icwsm.v11i1.14955,,Automated Hate Speech Detection and the Problem of Offensive Language,Proceedings of the International AAAI Conference on Web and ,2017,2017,Proceedings of the Eleventh International AAAI Conference on
hinton2015distilling,OK-NODOI,0.7,,arXiv only,Distilling an Analog Ensemble into a Deep Neural Network,,2020,2015,arXiv preprint arXiv:1503.02531 (NIPS 2014 Deep Learning Wor
bucilua2006model,OK-DOI-OVERRIDE,1.0,10.1145/1150402.1150464,,Model compression,Proceedings of the 12th ACM SIGKDD international conference ,2006,2006,Proceedings of the 12th ACM SIGKDD International Conference 
romero2015fitnets,OK-NODOI,0.389,,ICLR; cite with arXiv id,Hints and Remarks for Selected Exercises,Deep Learning in Science,2021,2015,3rd International Conference on Learning Representations (IC
gou2021knowledge,OK-DOI-OVERRIDE,1.0,10.1007/s11263-021-01453-z,,Knowledge Distillation: A Survey,International Journal of Computer Vision,2021,2021,International Journal of Computer Vision
sanh2019distilbert,OK-NODOI,0.53,,arXiv only,"Laboratory Automation: smaller, faster, cheaper",Science,2006,2019,arXiv preprint arXiv:1910.01108 (5th Workshop on Energy Effi
sun2019patient,OK,1.0,10.18653/v1/d19-1441,,Patient Knowledge Distillation for BERT Model Compression,Proceedings of the 2019 Conference on Empirical Methods in N,2019,2019,Proceedings of the 2019 Conference on Empirical Methods in N
jiao2020tinybert,OK,1.0,10.18653/v1/2020.findings-emnlp.372,,TinyBERT: Distilling BERT for Natural Language Understanding,Findings of the Association for Computational Linguistics: E,2020,2020,Findings of the Association for Computational Linguistics: E
wang2020minilm,OK-NODOI,0.615,,NeurIPS proceedings; cite with arXiv id,Adversarial Data Augmentation for Task-Specific Knowledge Distillation of Pre-trained Tran,Proceedings of the AAAI Conference on Artificial Intelligenc,2022,2020,Advances in Neural Information Processing Systems 33 (NeurIP
sun2020mobilebert,OK,1.0,10.18653/v1/2020.acl-main.195,,MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,Proceedings of the 58th Annual Meeting of the Association fo,2020,2020,Proceedings of the 58th Annual Meeting of the Association fo
turc2019wellread,OK-NODOI,0.627,,arXiv only,On the importance of pre-training data volume for compact language models,Proceedings of the 2020 Conference on Empirical Methods in N,2020,2019,arXiv preprint arXiv:1908.08962
tang2019distilling,OK-NODOI,0.648,,arXiv only,Distilling Knowledge from BERT into Simple Fully Connected Neural Networks for Efficient V,Proceedings of the 30th ACM International Conference on Info,2021,2019,arXiv preprint arXiv:1903.12136
stanton2021does,OK-NODOI,0.645,,NeurIPS proceedings; cite with arXiv id,Does Edcamp Really Work?,The Edcamp Model,2014,2021,Advances in Neural Information Processing Systems 34 (NeurIP
beyer2022knowledge,OK,1.0,10.1109/cvpr52688.2022.01065,,Knowledge distillation: A good teacher is patient and consistent,2022 IEEE/CVF Conference on Computer Vision and Pattern Reco,2022,2022,Proceedings of the IEEE/CVF Conference on Computer Vision an
cho2019efficacy,OK,1.0,10.1109/iccv.2019.00489,,On the Efficacy of Knowledge Distillation,2019 IEEE/CVF International Conference on Computer Vision (I,2019,2019,Proceedings of the IEEE/CVF International Conference on Comp
you2017learning,OK,1.0,10.1145/3097983.3098135,,Learning from Multiple Teacher Networks,Proceedings of the 23rd ACM SIGKDD International Conference ,2017,2017,Proceedings of the 23rd ACM SIGKDD International Conference 
fukuda2017efficient,OK,1.0,10.21437/interspeech.2017-614,,Efficient Knowledge Distillation from an Ensemble of Teachers,Interspeech 2017,2017,2017,Proceedings of Interspeech 2017
liu2020adaptive,OK,1.0,10.1016/j.neucom.2020.07.048,,Adaptive multi-teacher multi-level knowledge distillation,Neurocomputing,2020,2020,Neurocomputing
du2020agree,OK-NODOI,0.594,,NeurIPS proceedings,Online feature correlation knowledge distillation via adaptive ensemble teacher,Knowledge-Based Systems,2026,2020,Advances in Neural Information Processing Systems 33 (NeurIP
yuan2021reinforced,OK,1.0,10.1609/aaai.v35i16.17680,,Reinforced Multi-Teacher Selection for Knowledge Distillation,Proceedings of the AAAI Conference on Artificial Intelligenc,2021,2021,Proceedings of the AAAI Conference on Artificial Intelligenc
zhang2022confidence,OK,1.0,10.1109/icassp43922.2022.9747534,,Confidence-Aware Multi-Teacher Knowledge Distillation,ICASSP 2022 - 2022 IEEE International Conference on Acoustic,2022,2022,ICASSP 2022 - 2022 IEEE International Conference on Acoustic
