run,seed,sarcasm_discrimination_auc,sarcasm_discrimination_ap,mean_p_abusive_ironic,mean_p_abusive_benign,ironic_recall_at_0.5,benign_fpr_at_0.5,ironic_recall_with_profanity,ironic_recall_without_profanity,implicit_recall_with_profanity,implicit_recall_without_profanity,other_cyberbullying_recall,not_cyberbullying_recall,threshold_for_fpr_10pct
sweep_T_1.0,1,0.7774399628306764,0.8509553982019475,0.7666929364204407,0.46438947319984436,0.8211538461538461,0.4144960362400906,0.8604651162790697,0.7890573500329597,0.8181818181818182,0.7779255319148937,0.7461406518010292,0.6175040518638574,
sweep_T_2.0,1,0.7765898597438802,0.8501934029442879,0.780490517616272,0.4390566945075989,0.8096153846153846,0.40656851642129105,0.8837209302325582,0.7949901120632828,0.9090909090909091,0.7845744680851063,0.7495711835334476,0.6126418152350082,
sweep_delta_0.5,1,0.7752134332258908,0.8485348414142377,0.7908765077590942,0.4459298253059387,0.8166666666666667,0.4190260475651189,0.9069767441860465,0.8029004614370469,0.9090909090909091,0.7965425531914894,0.7461406518010292,0.6191247974068071,
sweep_alpha_0.2,1,0.7749571681621511,0.8493932763547243,0.7821006774902344,0.4533593952655792,0.8115384615384615,0.41562853907134767,0.8837209302325582,0.7923533289386948,0.8181818181818182,0.7819148936170213,0.7461406518010292,0.6126418152350082,
ablation_no_aux,1,0.7745012631762349,0.8535060385026434,0.7385185956954956,0.3792027235031128,0.7602564102564102,0.3431483578708947,0.8604651162790697,0.7402768622280818,0.8181818181818182,0.7061170212765957,0.6655231560891939,0.6807131280388979,
uniform,1,0.7742402793506984,0.8531722815425804,0.7409102320671082,0.38090285658836365,0.7583333333333333,0.34994337485843713,0.8604651162790697,0.7435728411338167,0.8181818181818182,0.711436170212766,0.6706689536878216,0.6823338735818476,
ft,1,0.7729106774690013,0.8505840357994299,0.747780978679657,0.4493451714515686,0.7923076923076923,0.3952434881087203,0.9069767441860465,0.7554383651944627,0.9090909090909091,0.7393617021276596,0.7101200686106347,0.6482982171799028,
ablation_no_dynamic,1,0.772731364520719,0.8480702247511714,0.787367582321167,0.44424566626548767,0.8121794871794872,0.41676104190260477,0.8837209302325582,0.7982860909690178,0.8181818181818182,0.7872340425531915,0.7495711835334476,0.6077795786061588,
ablation_per_batch,1,0.7727023259865842,0.848038550867771,0.7873580455780029,0.4442073702812195,0.8128205128205128,0.41676104190260477,0.8837209302325582,0.7989452867501649,0.8181818181818182,0.788563829787234,0.7512864493996569,0.6077795786061588,
sweep_tau_5.0,1,0.7726104916223828,0.8480258698137613,0.7869985699653625,0.44419431686401367,0.8115384615384615,0.4178935447338618,0.8837209302325582,0.7982860909690178,0.8181818181818182,0.7872340425531915,0.7478559176672385,0.6110210696920584,
sweep_tau_2.0,1,0.7725789122165114,0.8479789406237972,0.7866840362548828,0.44395583868026733,0.8115384615384615,0.41562853907134767,0.8837209302325582,0.7976268951878708,0.8181818181818182,0.785904255319149,0.7478559176672385,0.6126418152350082,
dmthd,1,0.7725505996457298,0.8478968286915496,0.7863929271697998,0.4438509941101074,0.8121794871794872,0.4144960362400906,0.8837209302325582,0.7969676994067239,0.8181818181818182,0.7845744680851063,0.7478559176672385,0.6110210696920584,
sweep_tau_0.5,1,0.7724032290849958,0.8478741165767404,0.7860908508300781,0.443810373544693,0.8115384615384615,0.4110985277463194,0.8837209302325582,0.7956493078444298,0.8181818181818182,0.7832446808510638,0.7461406518010292,0.6126418152350082,
ablation_no_hidden,1,0.7714300752098034,0.8512133729109718,0.7560326457023621,0.4089595377445221,0.7852564102564102,0.36013590033975085,0.8604651162790697,0.7686222808174028,0.7272727272727273,0.7393617021276596,0.7375643224699828,0.6288492706645057,
sweep_delta_0.1,1,0.7705904985916312,0.8473313318248108,0.7827821969985962,0.44163978099823,0.8044871794871795,0.40770101925254815,0.8604651162790697,0.7943309162821358,0.8181818181818182,0.7779255319148937,0.7427101200686106,0.6077795786061588,
sweep_T_8.0,1,0.770092850712896,0.8470271182598433,0.7860220074653625,0.4501321613788605,0.8102564102564103,0.4258210645526614,0.8604651162790697,0.7976268951878708,0.8181818181818182,0.7872340425531915,0.7427101200686106,0.6175040518638574,
sweep_alpha_0.6,1,0.7698405784475999,0.8467234933400397,0.7880446910858154,0.4394442141056061,0.8134615384615385,0.41336353340883353,0.9069767441860465,0.8009228740936059,0.9090909090909091,0.7912234042553191,0.7444253859348199,0.6094003241491086,
dmthd_spec,1,0.7678274820687052,0.8499005967098037,0.7523630261421204,0.4145442843437195,0.7788461538461539,0.38505096262740657,0.8604651162790697,0.7600527356624918,0.8181818181818182,0.738031914893617,0.7358490566037735,0.6385737439222042,
uniform_spec,1,0.7676136858611377,0.8523562610666167,0.75589919090271,0.4163163900375366,0.775,0.38391845979614947,0.9069767441860465,0.7560975609756098,0.9090909090909091,0.723404255319149,0.6620926243567753,0.653160453808752,
uniform_hetero,1,0.767097162935215,0.8499137973302292,0.7904908657073975,0.4673710763454437,0.8173076923076923,0.4337485843714609,0.9069767441860465,0.7976268951878708,0.9090909090909091,0.7752659574468085,0.7461406518010292,0.6045380875202593,
ablation_spec_only,1,0.7669929871940064,0.8495849979286408,0.7967315912246704,0.46587055921554565,0.8173076923076923,0.44847112117780297,0.9069767441860465,0.8029004614370469,0.9090909090909091,0.785904255319149,0.758147512864494,0.6110210696920584,
