student,mode,tag,n_seeds,macro_f1_mean,macro_f1_std,acc_mean,acc_std,ece_mean,params,macro_f1
GroNLP/hateBERT,teacher,,1,0.8886761313725815,,0.9010633379565418,,0.0756373301981998,,0.8887 ± 0.0000
bert-large-uncased,teacher,,1,0.8972892994715852,,0.907535829865927,,0.05643187149828692,,0.8973 ± 0.0000
bilstm,dmthd,,3,0.8732234141455594,0.0003257582311357858,0.8866543381106489,0.0007430768038983838,0.07787664660844952,10446342.0,0.8732 ± 0.0003
bilstm,dmthd_hetero,,3,0.8763959746777695,0.0024344424929982574,0.8892741562644475,0.00266587207458867,0.07224852738146754,10446342.0,0.8764 ± 0.0024
bilstm,ft,,3,0.8692963704810325,0.004257090442036255,0.8831098782555094,0.003477665001201029,0.07727210242275391,10446342.0,0.8693 ± 0.0043
bilstm,skd,,3,0.8747628056553519,0.001814447757643827,0.8878871937124364,0.0012870467782778983,0.07601116365029902,10446342.0,0.8748 ± 0.0018
bilstm,skd_hetero,,3,0.8747628056553519,0.001814447757643827,0.8878871937124364,0.0012870467782778983,0.07601116365029902,10446342.0,0.8748 ± 0.0018
bilstm,uniform,,3,0.8761309360012751,0.002503090277060117,0.8893512097395592,0.002147844022925953,0.07945367744650898,10446342.0,0.8761 ± 0.0025
bilstm,uniform_hetero,,3,0.8759681962450202,0.0011734026919497087,0.8889659423640005,0.0010924215502201898,0.07343697043169921,10446342.0,0.8760 ± 0.0012
cardiffnlp/twitter-roberta-base-irony,teacher,,1,0.8926276297685806,,0.90499306518724,,0.06718648843367345,,0.8926 ± 0.0000
distilbert-base-uncased,dmthd,,3,0.8959969219082419,0.002418976054364458,0.9068423485899214,0.0018054206370565512,0.06595195808741693,66958086.0,0.8960 ± 0.0024
distilbert-base-uncased,dmthd_hetero,,3,0.8965716543036225,0.004082713907242856,0.9079210972414856,0.003758282754895089,0.06840847706111337,66958086.0,0.8966 ± 0.0041
distilbert-base-uncased,ft,,3,0.8907264001555362,0.0007331268159558789,0.9023732470334412,0.0011402873005816644,0.07142596697243324,66958086.0,0.8907 ± 0.0007
distilbert-base-uncased,skd,,3,0.8963023207783035,0.0002021056574394357,0.9072276159654801,0.00048119879784237166,0.06207948360040424,66958086.0,0.8963 ± 0.0002
distilbert-base-uncased,skd_hetero,,3,0.8963023207783035,0.0002021056574394357,0.9072276159654801,0.00048119879784237166,0.06207948360040424,66958086.0,0.8963 ± 0.0002
distilbert-base-uncased,uniform,,3,0.8959602134017044,0.0017232769426500027,0.9068423485899215,0.001601526405519056,0.07206458278375812,66958086.0,0.8960 ± 0.0017
distilbert-base-uncased,uniform_hetero,,3,0.8975301657651285,0.003116107480207841,0.9086145785174912,0.003016916620504294,0.06315531146592472,66958086.0,0.8975 ± 0.0031
google/bert_uncased_L-4_H-256_A-4,ablation_from_scratch,from_scratch,1,0.7905118668249642,,0.8116042533518262,,0.06215741688241793,11172102.0,0.7905 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,ablation_no_aux,no_aux,1,0.8363527719551866,,0.8499768839574665,,0.08759812756484156,11172102.0,0.8364 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,ablation_no_dynamic,no_dynamic,1,0.8386057394676448,,0.8529819694868238,,0.08615164485619237,11172102.0,0.8386 ± 0.0000
