Method,Seeds,Macro-F1,F1 on other cyberbullying,Sarcasm-discrimination AUC,Ironic recall at 0.5,Benign FPR at 0.5
Fine-tune only,3,0.8393 $\pm$ 0.0003,0.707 $\pm$ 0.003,0.773,0.792,0.395
Single-teacher KD,3,0.8405 $\pm$ 0.0017,0.702 $\pm$ 0.007,0.765,0.794,0.391
Uniform multi-teacher,3,0.8385 $\pm$ 0.0018,0.700 $\pm$ 0.011,0.774,0.758,0.350
D-MTHD,3,0.8378 $\pm$ 0.0011,0.705 $\pm$ 0.004,0.773,0.812,0.414
Uniform multi-teacher + implicit specialist,3,0.8390 $\pm$ 0.0035,0.699 $\pm$ 0.012,0.768,0.775,0.384
D-MTHD + implicit specialist,3,0.8373 $\pm$ 0.0025,0.697 $\pm$ 0.007,0.768,0.779,0.385
Single-teacher KD + transfer set,3,0.8466 $\pm$ 0.0016,0.714 $\pm$ 0.004,0.765,0.692,0.308
Uniform multi-teacher + transfer set,3,0.8462 $\pm$ 0.0016,0.710 $\pm$ 0.004,0.753,0.657,0.302
Uniform multi-teacher (het.) + transfer set,3,0.8477 $\pm$ 0.0026,0.720 $\pm$ 0.004,0.762,0.712,0.350
Out-of-sample reliability weighting + transfer set,3,0.8484 $\pm$ 0.0011,0.718 $\pm$ 0.004,0.753,0.658,0.304
Committee hard pseudo-labels + transfer set,3,0.8412 $\pm$ 0.0013,0.715 $\pm$ 0.005,0.727,0.700,0.390
"implicit specialist alone, no committee",1,0.8392,0.709,0.767,0.817,0.448
"student pre-trained on the implicit corpus, no distillation",1,0.8377,0.705,0.756,0.796,0.441
