Student,Method,Seeds,Params (M),Macro-F1,Accuracy,Benign-sarcasm FPR $\downarrow$,Ironic-abuse recall $\uparrow$
BERT-mini,Fine-tune only,3,11.2,0.8393 $\pm$ 0.0003,0.8524 $\pm$ 0.0007,0.354 $\pm$ 0.005,0.744 $\pm$ 0.023
BERT-mini,Single-teacher KD,3,11.2,0.8405 $\pm$ 0.0017,0.8537 $\pm$ 0.0015,0.373 $\pm$ 0.009,0.748 $\pm$ 0.026
BERT-mini,Uniform multi-teacher,3,11.2,0.8385 $\pm$ 0.0018,0.8524 $\pm$ 0.0020,0.382 $\pm$ 0.040,0.756 $\pm$ 0.021
BERT-mini,D-MTHD,3,11.2,0.8378 $\pm$ 0.0011,0.8512 $\pm$ 0.0015,0.376 $\pm$ 0.024,0.753 $\pm$ 0.042
BERT-small,Fine-tune only,3,28.8,0.8469 $\pm$ 0.0040,0.8598 $\pm$ 0.0038,0.399 $\pm$ 0.052,0.737 $\pm$ 0.047
BERT-small,Single-teacher KD,3,28.8,0.8488 $\pm$ 0.0044,0.8611 $\pm$ 0.0042,0.348 $\pm$ 0.038,0.697 $\pm$ 0.021
BERT-small,Uniform multi-teacher,3,28.8,0.8505 $\pm$ 0.0028,0.8624 $\pm$ 0.0023,0.377 $\pm$ 0.061,0.711 $\pm$ 0.042
BERT-small,D-MTHD,3,28.8,0.8471 $\pm$ 0.0034,0.8600 $\pm$ 0.0026,0.398 $\pm$ 0.028,0.716 $\pm$ 0.017
BiLSTM,Fine-tune only,3,10.4,0.8693 $\pm$ 0.0043,0.8831 $\pm$ 0.0035,0.402 $\pm$ 0.011,0.622 $\pm$ 0.015
BiLSTM,Single-teacher KD,3,10.4,0.8748 $\pm$ 0.0018,0.8879 $\pm$ 0.0013,0.310 $\pm$ 0.031,0.613 $\pm$ 0.011
BiLSTM,Uniform multi-teacher,3,10.4,0.8761 $\pm$ 0.0025,0.8894 $\pm$ 0.0021,0.312 $\pm$ 0.045,0.619 $\pm$ 0.025
BiLSTM,D-MTHD,3,10.4,0.8732 $\pm$ 0.0003,0.8867 $\pm$ 0.0007,0.343 $\pm$ 0.014,0.632 $\pm$ 0.028
DeBERTa-v3-xsmall,Fine-tune only,3,70.8,0.8825 $\pm$ 0.0010,0.8948 $\pm$ 0.0004,0.318 $\pm$ 0.048,0.717 $\pm$ 0.025
DeBERTa-v3-xsmall,Single-teacher KD,3,70.8,0.8865 $\pm$ 0.0023,0.8984 $\pm$ 0.0022,0.324 $\pm$ 0.007,0.726 $\pm$ 0.025
DeBERTa-v3-xsmall,Uniform multi-teacher,3,70.8,0.8862 $\pm$ 0.0021,0.8984 $\pm$ 0.0018,0.343 $\pm$ 0.011,0.745 $\pm$ 0.014
DeBERTa-v3-xsmall,D-MTHD,3,70.8,0.8833 $\pm$ 0.0018,0.8960 $\pm$ 0.0017,0.357 $\pm$ 0.012,0.726 $\pm$ 0.005
DistilBERT,Fine-tune only,3,67.0,0.8907 $\pm$ 0.0007,0.9024 $\pm$ 0.0011,0.225 $\pm$ 0.038,0.592 $\pm$ 0.017
DistilBERT,Single-teacher KD,3,67.0,0.8963 $\pm$ 0.0002,0.9072 $\pm$ 0.0005,0.228 $\pm$ 0.016,0.603 $\pm$ 0.048
DistilBERT,Uniform multi-teacher,3,67.0,0.8960 $\pm$ 0.0017,0.9068 $\pm$ 0.0016,0.219 $\pm$ 0.074,0.586 $\pm$ 0.043
DistilBERT,D-MTHD,3,67.0,0.8960 $\pm$ 0.0024,0.9068 $\pm$ 0.0018,0.268 $\pm$ 0.050,0.594 $\pm$ 0.027
