Committee,Uniform,tau,Teacher,weight on other cyberbullying,weight on targeted,difference,95 per cent interval
homogeneous + DeBERTa,0.250,0.05,bert-large,0.249,0.246,+0.0036,"[+0.0003, +0.0069]"
homogeneous + DeBERTa,0.250,0.05,hatebert,0.350,0.265,+0.0846,"[+0.0810, +0.0886]"
homogeneous + DeBERTa,0.250,0.05,irony,0.298,0.259,+0.0390,"[+0.0360, +0.0422]"
homogeneous + DeBERTa,0.250,0.05,deberta-base,0.104,0.231,-0.1273,"[-0.1297, -0.1247]"
homogeneous + DeBERTa,0.250,0.1,bert-large,0.253,0.247,+0.0055,"[+0.0026, +0.0085]"
homogeneous + DeBERTa,0.250,0.1,hatebert,0.320,0.261,+0.0593,"[+0.0561, +0.0628]"
homogeneous + DeBERTa,0.250,0.1,irony,0.287,0.257,+0.0305,"[+0.0279, +0.0331]"
homogeneous + DeBERTa,0.250,0.1,deberta-base,0.140,0.235,-0.0954,"[-0.0980, -0.0927]"
homogeneous + DeBERTa,0.250,0.2,bert-large,0.254,0.249,+0.0055,"[+0.0030, +0.0081]"
homogeneous + DeBERTa,0.250,0.2,hatebert,0.300,0.258,+0.0421,"[+0.0392, +0.0451]"
homogeneous + DeBERTa,0.250,0.2,irony,0.278,0.255,+0.0227,"[+0.0205, +0.0250]"
homogeneous + DeBERTa,0.250,0.2,deberta-base,0.168,0.239,-0.0703,"[-0.0728, -0.0678]"
homogeneous + DeBERTa,0.250,0.5,bert-large,0.255,0.250,+0.0046,"[+0.0026, +0.0066]"
homogeneous + DeBERTa,0.250,0.5,hatebert,0.281,0.255,+0.0266,"[+0.0242, +0.0289]"
homogeneous + DeBERTa,0.250,0.5,irony,0.268,0.253,+0.0146,"[+0.0128, +0.0164]"
homogeneous + DeBERTa,0.250,0.5,deberta-base,0.197,0.242,-0.0458,"[-0.0480, -0.0436]"
homogeneous + DeBERTa,0.250,1.0,bert-large,0.254,0.250,+0.0039,"[+0.0023, +0.0053]"
homogeneous + DeBERTa,0.250,1.0,hatebert,0.271,0.253,+0.0176,"[+0.0159, +0.0194]"
homogeneous + DeBERTa,0.250,1.0,irony,0.262,0.252,+0.0097,"[+0.0084, +0.0111]"
homogeneous + DeBERTa,0.250,1.0,deberta-base,0.214,0.245,-0.0312,"[-0.0330, -0.0295]"
homogeneous,0.333,0.05,bert-large,0.279,0.322,-0.0424,"[-0.0459, -0.0388]"
homogeneous,0.333,0.05,hatebert,0.388,0.343,+0.0449,"[+0.0413, +0.0486]"
homogeneous,0.333,0.05,irony,0.333,0.336,-0.0026,"[-0.0058, +0.0007]"
homogeneous,0.333,0.1,bert-large,0.295,0.325,-0.0297,"[-0.0328, -0.0265]"
homogeneous,0.333,0.1,hatebert,0.370,0.340,+0.0300,"[+0.0269, +0.0331]"
homogeneous,0.333,0.1,irony,0.335,0.335,-0.0002,"[-0.0029, +0.0025]"
homogeneous,0.333,0.2,bert-large,0.307,0.328,-0.0206,"[-0.0234, -0.0179]"
homogeneous,0.333,0.2,hatebert,0.358,0.338,+0.0204,"[+0.0178, +0.0232]"
homogeneous,0.333,0.2,irony,0.335,0.335,+0.0002,"[-0.0020, +0.0025]"
homogeneous,0.333,0.5,bert-large,0.318,0.330,-0.0122,"[-0.0144, -0.0101]"
homogeneous,0.333,0.5,hatebert,0.348,0.336,+0.0124,"[+0.0102, +0.0145]"
homogeneous,0.333,0.5,irony,0.334,0.334,-0.0002,"[-0.0019, +0.0017]"
homogeneous,0.333,1.0,bert-large,0.324,0.332,-0.0077,"[-0.0094, -0.0060]"
homogeneous,0.333,1.0,hatebert,0.343,0.335,+0.0081,"[+0.0065, +0.0098]"
homogeneous,0.333,1.0,irony,0.333,0.334,-0.0005,"[-0.0018, +0.0010]"
homogeneous + implicit specialist,0.250,0.05,bert-large,0.206,0.241,-0.0347,"[-0.0375, -0.0317]"
homogeneous + implicit specialist,0.250,0.05,hatebert,0.278,0.254,+0.0235,"[+0.0209, +0.0260]"
homogeneous + implicit specialist,0.250,0.05,irony,0.243,0.251,-0.0075,"[-0.0101, -0.0048]"
homogeneous + implicit specialist,0.250,0.05,implicit-spec,0.273,0.254,+0.0187,"[+0.0163, +0.0212]"
homogeneous + implicit specialist,0.250,0.1,bert-large,0.220,0.243,-0.0238,"[-0.0264, -0.0211]"
