run,student,variant,macro_f1,fpr,recall,margin
bert-mini/ablation_from_scratch/seed1,bert-mini,ablation_from_scratch,0.7905118668249642,0.5866364665911665,0.6685897435897435,0.08195327699857702
bert-mini/ablation_no_aux/seed1,bert-mini,ablation_no_aux,0.8363527719551866,0.33408833522083803,0.7435897435897436,0.4095014083689056
bert-mini/ablation_no_dynamic/seed1,bert-mini,ablation_no_dynamic,0.8386057394676448,0.4088335220838052,0.8006410256410257,0.3918075035572205
bert-mini/ablation_no_hidden/seed1,bert-mini,ablation_no_hidden,0.8369271067910099,0.3522083805209513,0.7711538461538462,0.41894546563289486
bert-mini/ablation_per_batch/seed1,bert-mini,ablation_per_batch,0.8388706516324196,0.4088335220838052,0.8012820512820513,0.39244852919824613
bert-mini/dmthd/seed1,bert-mini,dmthd,0.8385319026785892,0.4043035107587769,0.7993589743589744,0.3950554636001975
bert-mini/dmthd/seed2,bert-mini,dmthd,0.838375589695815,0.3646659116647792,0.7173076923076923,0.3526417806429131
bert-mini/dmthd/seed3,bert-mini,dmthd,0.8364694624676771,0.36013590033975085,0.7423076923076923,0.3821717919679415
bert-mini/dmthd_hetero/seed1,bert-mini,dmthd_hetero,0.8375281228275918,0.37032842582106457,0.7532051282051282,0.3828767023840636
bert-mini/dmthd_hetero/seed2,bert-mini,dmthd_hetero,0.8381932751801203,0.33975084937712347,0.7217948717948718,0.3820440224177483
bert-mini/dmthd_hetero/seed3,bert-mini,dmthd_hetero,0.8362152183088177,0.39637599093997733,0.7544871794871795,0.35811118854720214
bert-mini/ft/seed1,bert-mini,ft,0.8393524375553193,0.34994337485843713,0.7596153846153846,0.40967200975694745
bert-mini/ft/seed2,bert-mini,ft,0.8395067967631262,0.35900339750849375,0.7551282051282051,0.39612480761971136
bert-mini/ft/seed3,bert-mini,ft,0.8389021728533067,0.3522083805209513,0.717948717948718,0.3657403374277666
bert-mini/skd/seed1,bert-mini,skd,0.8400165371740281,0.38391845979614947,0.7762820512820513,0.39236359148590183
bert-mini/skd/seed2,bert-mini,skd,0.8423409199816208,0.36579841449603623,0.7256410256410256,0.3598426111449894
bert-mini/skd/seed3,bert-mini,skd,0.8390009067827603,0.37032842582106457,0.7410256410256411,0.3706972152045765
bert-mini/skd_hetero/seed1,bert-mini,skd_hetero,0.8400165371740281,0.38391845979614947,0.7762820512820513,0.39236359148590183
bert-mini/skd_hetero/seed2,bert-mini,skd_hetero,0.8423409199816208,0.36579841449603623,0.7256410256410256,0.3598426111449894
bert-mini/skd_hetero/seed3,bert-mini,skd_hetero,0.8390009067827603,0.37032842582106457,0.7410256410256411,0.3706972152045765
bert-mini/uniform/seed1,bert-mini,uniform,0.8372106763327644,0.33861834654586637,0.7467948717948718,0.40817652524900544
bert-mini/uniform/seed2,bert-mini,uniform,0.8406118058551919,0.39184597961494905,0.7807692307692308,0.3889232511542817
bert-mini/uniform/seed3,bert-mini,uniform,0.8377129155074665,0.41676104190260477,0.7416666666666667,0.32490562476406193
bert-mini/uniform_hetero/seed1,bert-mini,uniform_hetero,0.8388644811291993,0.4246885617214043,0.8006410256410257,0.3759524639196214
bert-mini/uniform_hetero/seed2,bert-mini,uniform_hetero,0.8395796863101946,0.39071347678369195,0.75,0.35928652321630805
bert-mini/uniform_hetero/seed3,bert-mini,uniform_hetero,0.8350638274256413,0.4190260475651189,0.7743589743589744,0.3553329267938555
bert-small/dmthd/seed1,bert-small,dmthd,0.8458714754323032,0.4144960362400906,0.7301282051282051,0.31563216888811446
bert-small/dmthd/seed2,bert-small,dmthd,0.8509016320226759,0.36579841449603623,0.7211538461538461,0.3553554316578099
bert-small/dmthd/seed3,bert-small,dmthd,0.8444544074339105,0.4144960362400906,0.6974358974358974,0.2829398611958068
bert-small/dmthd_hetero/seed1,bert-small,dmthd_hetero,0.8482284181374351,0.3793884484711212,0.6775641025641026,0.2981756540929814
bert-small/dmthd_hetero/seed2,bert-small,dmthd_hetero,0.8482995269971466,0.3714609286523216,0.7275641025641025,0.3561031739117809
bert-small/dmthd_hetero/seed3,bert-small,dmthd_hetero,0.8464430135036908,0.4088335220838052,0.7301282051282051,0.3212946830443999
bert-small/ft/seed1,bert-small,ft,0.8511035372982233,0.4258210645526614,0.7737179487179487,0.34789688416528736
bert-small/ft/seed2,bert-small,ft,0.8465221611338348,0.43261608154020387,0.7525641025641026,0.3199480210238987
bert-small/ft/seed3,bert-small,ft,0.8430923396913313,0.33975084937712347,0.683974358974359,0.3442235095972355
bert-small/skd/seed1,bert-small,skd,0.8438735580311567,0.30690826727066817,0.6730769230769231,0.36616865580625496
bert-small/skd/seed2,bert-small,skd,0.8524670322584894,0.3556058890147225,0.7096153846153846,0.35400949560066214
bert-small/skd/seed3,bert-small,skd,0.8500005717143092,0.38165345413363533,0.708974358974359,0.3273209048407237
bert-small/skd_hetero/seed1,bert-small,skd_hetero,0.8438735580311567,0.30690826727066817,0.6730769230769231,0.36616865580625496
bert-small/skd_hetero/seed2,bert-small,skd_hetero,0.8524670322584894,0.3556058890147225,0.7096153846153846,0.35400949560066214
bert-small/skd_hetero/seed3,bert-small,skd_hetero,0.8500005717143092,0.38165345413363533,0.708974358974359,0.3273209048407237
bert-small/uniform/seed1,bert-small,uniform,0.8503995291603165,0.30804077010192527,0.6673076923076923,0.359266922205767
bert-small/uniform/seed2,bert-small,uniform,0.8533942336642043,0.42355605889014725,0.75,0.32644394110985275
bert-small/uniform/seed3,bert-small,uniform,0.8477206399377292,0.39977349943374857,0.7153846153846154,0.3156111159508668
bert-small/uniform_hetero/seed1,bert-small,uniform_hetero,0.8502065330689356,0.41223103057757643,0.7064102564102565,0.29417922583268
bert-small/uniform_hetero/seed2,bert-small,uniform_hetero,0.853216036282369,0.33069082672706684,0.6993589743589743,0.3686681476319075
bert-small/uniform_hetero/seed3,bert-small,uniform_hetero,0.8492089234333727,0.4575311438278596,0.7596153846153846,0.302084240787525
bilstm/dmthd/seed1,bilstm,dmthd,0.873004291923627,0.3272933182332956,0.6525641025641026,0.325270784330807
bilstm/dmthd/seed2,bilstm,dmthd,0.8735977534921195,0.347678369195923,0.6006410256410256,0.25296265644510263
bilstm/dmthd/seed3,bilstm,dmthd,0.8730681970209314,0.35447338618346547,0.6442307692307693,0.2897573830473038
bilstm/dmthd_hetero/seed1,bilstm,dmthd_hetero,0.8767476645820507,0.32163080407701017,0.6512820512820513,0.32965124720504113
bilstm/dmthd_hetero/seed2,bilstm,dmthd_hetero,0.8738048148579284,0.3250283125707814,0.6012820512820513,0.27625373871126985
bilstm/dmthd_hetero/seed3,bilstm,dmthd_hetero,0.8786354445933297,0.39071347678369195,0.6544871794871795,0.26377370270348754
bilstm/ft/seed1,bilstm,ft,0.8719152515492713,0.41336353340883353,0.6339743589743589,0.22061082556552541
bilstm/ft/seed2,bilstm,ft,0.8715895561410236,0.40090600226500567,0.6275641025641026,0.2266581002990969
bilstm/ft/seed3,bilstm,ft,0.8643843037528024,0.39071347678369195,0.6051282051282051,0.21441472834451314
bilstm/skd/seed1,bilstm,skd,0.872958546310452,0.29671574178935445,0.6038461538461538,0.30713041205679936
bilstm/skd/seed2,bilstm,skd,0.8765872730248927,0.34541336353340885,0.6243589743589744,0.2789456108255655
bilstm/skd/seed3,bilstm,skd,0.8747425976307112,0.2865232163080408,0.6096153846153847,0.3230921683073439
bilstm/skd_hetero/seed1,bilstm,skd_hetero,0.872958546310452,0.29671574178935445,0.6038461538461538,0.30713041205679936
bilstm/skd_hetero/seed2,bilstm,skd_hetero,0.8765872730248927,0.34541336353340885,0.6243589743589744,0.2789456108255655
bilstm/skd_hetero/seed3,bilstm,skd_hetero,0.8747425976307112,0.2865232163080408,0.6096153846153847,0.3230921683073439
bilstm/uniform/seed1,bilstm,uniform,0.8744055846414196,0.31370328425821065,0.6358974358974359,0.3221941516392252
bilstm/uniform/seed2,bilstm,uniform,0.8749854202189923,0.3567383918459796,0.6301282051282051,0.2733898132822255
bilstm/uniform/seed3,bilstm,uniform,0.8790018031434137,0.26613816534541335,0.5897435897435898,0.3236054243981764
bilstm/uniform_hetero/seed1,bilstm,uniform_hetero,0.8748300312013687,0.3420158550396376,0.6448717948717949,0.3028559398321573
bilstm/uniform_hetero/seed2,bilstm,uniform_hetero,0.8759006398365786,0.31483578708946774,0.592948717948718,0.2781129308592502
bilstm/uniform_hetero/seed3,bilstm,uniform_hetero,0.8771739176971135,0.3261608154020385,0.6410256410256411,0.3148648256236026
deberta-xsmall/dmthd/seed1,deberta-xsmall,dmthd,0.881255497720531,0.3567383918459796,0.7211538461538461,0.36441545430786654
deberta-xsmall/dmthd/seed2,deberta-xsmall,dmthd,0.8841911050600242,0.34541336353340885,0.7301282051282051,0.38471484159479624
deberta-xsmall/dmthd/seed3,deberta-xsmall,dmthd,0.8844353622386386,0.36919592298980747,0.7269230769230769,0.3577271539332694
